Sample code,week day,Start date,Stop date,PM2.5 (ug/m3),OC (ugC/m3),BC (ugC/m3),Na+ (ng/m3),NH4+ (ng/m3),K+ (ng/m3),Mg2+ (ng/m3),Ca2+ (ng/m3),F- (ng/m3),Cl- (ng/m3),NO3- (ng/m3),PO43- (ng/m3),SO42- (ng/m3),14C pMC BC (%),Rainfall (mm),D14C (‰),ƒfossil ,ƒbiomass,BCbiomass(ug m-3)  ,BCfossil (Ug m-3)
KEN05-140222,Sat,2/22/2014,2/23/2014,30.24,6.92,3.34,249.6513288,544.1206853,388.5361926,37.13822358,257.5471298,6.644606668,92.41869099,426.871518,8.933603433,2297.748894,N/A,N/A,,,,,
KEN06-140228,Fri,2/28/2014,3/1/2014,28.43,5.05,2.97,150.2372346,529.8973327,315.4711909,23.96519329,227.5782796,7.086008033,51.39213746,255.5528096,17.61621634,2097.927249,N/A,1.2,,,,,
KEN08-140306,Thur,3/6/2014,3/7/2014,27.12,4.92,3.01,61.73373688,291.0035543,215.6313803,10.67066932,161.0844805,4.169256877,21.45613612,185.4581181,25.75531579,1260.020141,11.7,17.1,-883,88.93%,11.07%,0.333178808,2.676821192
KEN09-140311,Tue,3/11/2014,3/12/2014,29.6,5.88,3.73,144.7871544,502.295864,365.4180673,22.32392952,184.3174534,6.545360947,46.44771437,300.7795467,0,2027.846295,N/A,7.1,,,,,
KEN10-140319,Wed,3/19/2014,3/20/2014,32.86,6.97,5.61,174.1655203,631.0192423,391.6162409,22.05797446,178.4339459,6.652096271,81.50242923,550.5879997,6.426824111,2862.409293,13.2,6,-868,87.51%,12.49%,0.700586566,4.909413434
KEN11-140324,Mon,3/24/2014,3/25/2014,29.81,7.43,5.17,73.84974268,493.2681438,349.9466178,9.312768028,99.08061045,7.218187294,45.96388474,259.7723135,33.58739007,1755.834872,N/A,12.8,,,,,
KEN13-140330,Sun,3/30/2014,3/30/2014,27.86,5.46,3.49,100.894381,585.1606057,318.425417,13.02912505,110.3913755,1.699297918,26.78837562,209.0374133,15.42601571,2513.85253,15.7,7.8,-843,85.15%,14.85%,0.518382214,2.971617786
KEN15-140405,Sat,4/5/2014,4/6/2014,28.48,5.66,3.61,37.60701628,223.0318029,259.9245398,9.642452786,176.1941456,4.325730604,50.09550403,232.4252467,55.59908344,847.2970322,N/A,13.5,,,,,
KEN16-140411,Fri,4/11/2014,4/12/2014,25.85,6.03,5.13,56.04483121,240.8060809,335.7653267,3.455847862,56.50230369,2.548910739,243.6679837,393.5433632,23.54590266,850.9260972,12.7,27.1,-873,87.98%,12.02%,0.616376537,4.513623463
KEN17-140417,Thur,4/17/2014,4/18/2014,18.9,4.03,3.07,35.65213135,265.9761715,199.0928182,3.403702307,37.94791275,2.852835218,1.785770463,149.8333323,11.35219202,945.9732611,N/A,34.3,,,,,
KEN19-140423,Wed,4/23/2014,4/24/2014,25.67,5.18,3.98,59.93297737,205.3699591,261.00647,9.597440907,105.0769347,3.893800455,30.50237846,155.2967237,25.85916833,1078.155346,14.5,36.8,-855,86.28%,13.72%,0.545979186,3.434020814
KEN20-140429,Tue,4/29/2014,4/30/2014,29.53,5.85,4.75,73.30648151,210.4544451,327.5090448,6.909168447,108.7894753,3.91652491,113.8602366,267.199251,9.58617616,1075.003686,N/A,10.8,,,,,
KEN21-140505,Mon,5/5/2014,5/6/2014,27.78,5.66,4.65,66.54152721,216.4234209,218.9855773,8.926794291,133.3464201,4.778069688,70.20412084,134.0949306,44.695629,956.7691566,10.7,8.6,-893,89.88%,10.12%,0.470719016,4.179280984
KEN22-140511,Sun,5/11/2014,5/12/2014,23.94,4.25,3.42,104.2053871,412.1474123,224.2519391,11.24704038,72.45280857,3.713745747,26.54894808,179.3000094,28.27654278,1755.820735,N/A,17.4,,,,,
KEN24-140517,Sat,5/17/2014,5/18/2014,25.49,5.56,2.84,88.5854032,358.2729278,272.1459219,15.48365948,235.3040369,2.689671753,153.3837738,185.7855235,19.60470942,1649.030804,18.1,2,-824,83.35%,16.65%,0.472885525,2.367114475
KEN25-140523,Fri,5/23/2014,5/24/2014,37.57,9.26,7.35,95.96861763,497.0275252,363.7411623,15.48224444,190.7003479,0.154924834,134.7748548,489.1031228,23.16294088,2177.369184,N/A,6.1,,,,,
KEN26-140529,Thur,5/29/2014,5/30/2014,33.42,7.04,4.01,64.00898361,429.6841395,262.7447318,9.757892652,151.0440527,4.310167248,39.32801173,160.9314498,17.66604824,1486.188335,14.7,0.3,-853,86.09%,13.91%,0.557682119,3.452317881
KEN27-140604,Wed,6/4/2014,6/5/2014,30.42,6.46,2.62,125.1984344,184.2737076,579.6220452,17.60108442,196.0589569,11.2092708,190.4472116,376.1003522,41.58120529,1075.945422,N/A,3.1,,,,,
